Week,coursera: (Ukraine)
2017-11-12,11
2017-11-19,6
2017-11-26,13
2017-12-03,13
2017-12-10,10
2017-12-17,12
2017-12-24,24
2017-12-31,7
2018-01-07,5
2018-01-14,9
2018-01-21,15
2018-01-28,18
2018-02-04,12
2018-02-11,10
2018-02-18,8
2018-02-25,10
2018-03-04,17
2018-03-11,5
2018-03-18,10
2018-03-25,9
2018-04-01,5
2018-04-08,14
2018-04-15,15
2018-04-22,5
2018-04-29,14
2018-05-06,12
2018-05-13,17
2018-05-20,14
2018-05-27,10
2018-06-03,3
2018-06-10,11
2018-06-17,13
2018-06-24,12
2018-07-01,4
2018-07-08,14
2018-07-15,16
2018-07-22,14
2018-07-29,12
2018-08-05,20
2018-08-12,10
2018-08-19,5
2018-08-26,6
2018-09-02,6
2018-09-09,9
2018-09-16,10
2018-09-23,4
2018-09-30,7
2018-10-07,8
2018-10-14,13
2018-10-21,10
2018-10-28,6
2018-11-04,13
2018-11-11,12
2018-11-18,5
2018-11-25,10
2018-12-02,6
2018-12-09,13
2018-12-16,3
2018-12-23,10
2018-12-30,0
2019-01-06,9
2019-01-13,10
2019-01-20,9
2019-01-27,10
2019-02-03,10
2019-02-10,8
2019-02-17,10
2019-02-24,10
2019-03-03,9
2019-03-10,6
2019-03-17,10
2019-03-24,10
2019-03-31,9
2019-04-07,9
2019-04-14,2
2019-04-21,5
2019-04-28,5
2019-05-05,9
2019-05-12,6
2019-05-19,8
2019-05-26,9
2019-06-02,12
2019-06-09,11
2019-06-16,10
2019-06-23,6
2019-06-30,11
2019-07-07,10
2019-07-14,6
2019-07-21,13
2019-07-28,15
2019-08-04,14
2019-08-11,3
2019-08-18,2
2019-08-25,8
2019-09-01,9
2019-09-08,12
2019-09-15,8
2019-09-22,10
2019-09-29,8
2019-10-06,6
2019-10-13,10
2019-10-20,4
2019-10-27,10
2019-11-03,13
2019-11-10,17
2019-11-17,8
2019-11-24,9
2019-12-01,12
2019-12-08,7
2019-12-15,11
2019-12-22,4
2019-12-29,5
2020-01-05,13
2020-01-12,11
2020-01-19,9
2020-01-26,13
2020-02-02,13
2020-02-09,8
2020-02-16,9
2020-02-23,8
2020-03-01,8
2020-03-08,22
2020-03-15,75
2020-03-22,90
2020-03-29,50
2020-04-05,39
2020-04-12,35
2020-04-19,41
2020-04-26,27
2020-05-03,29
2020-05-10,23
2020-05-17,21
2020-05-24,20
2020-05-31,26
2020-06-07,27
2020-06-14,21
2020-06-21,18
2020-06-28,12
2020-07-05,23
2020-07-12,20
2020-07-19,16
2020-07-26,24
2020-08-02,21
2020-08-09,17
2020-08-16,16
2020-08-23,24
2020-08-30,24
2020-09-06,22
2020-09-13,22
2020-09-20,21
2020-09-27,20
2020-10-04,19
2020-10-11,5
2020-10-18,19
2020-10-25,24
2020-11-01,21
2020-11-08,22
2020-11-15,9
2020-11-22,20
2020-11-29,14
2020-12-06,8
2020-12-13,10
2020-12-20,14
2020-12-27,8
2021-01-03,9
2021-01-10,21
2021-01-17,23
2021-01-24,6
2021-01-31,18
2021-02-07,9
2021-02-14,10
2021-02-21,10
2021-02-28,8
2021-03-07,12
2021-03-14,17
2021-03-21,19
2021-03-28,8
2021-04-04,6
2021-04-11,8
2021-04-18,12
2021-04-25,12
2021-05-02,12
2021-05-09,9
2021-05-16,14
2021-05-23,11
2021-05-30,11
2021-06-06,16
2021-06-13,15
2021-06-20,16
2021-06-27,9
2021-07-04,5
2021-07-11,8
2021-07-18,19
2021-07-25,13
2021-08-01,10
2021-08-08,17
2021-08-15,17
2021-08-22,16
2021-08-29,11
2021-09-05,15
2021-09-12,15
2021-09-19,10
2021-09-26,6
2021-10-03,7
2021-10-10,8
2021-10-17,12
2021-10-24,14
2021-10-31,15
2021-11-07,15
2021-11-14,13
2021-11-21,14
2021-11-28,18
2021-12-05,14
2021-12-12,7
2021-12-19,9
2021-12-26,9
2022-01-02,18
2022-01-09,22
2022-01-16,13
2022-01-23,16
2022-01-30,17
2022-02-06,13
2022-02-13,15
2022-02-20,9
2022-02-27,10
2022-03-06,77
2022-03-13,34
2022-03-20,47
2022-03-27,100
2022-04-03,65
2022-04-10,55
2022-04-17,30
2022-04-24,37
2022-05-01,30
2022-05-08,13
2022-05-15,27
2022-05-22,30
2022-05-29,27
2022-06-05,26
2022-06-12,31
2022-06-19,22
2022-06-26,26
2022-07-03,25
2022-07-10,24
2022-07-17,12
2022-07-24,21
2022-07-31,15
2022-08-07,23
2022-08-14,20
2022-08-21,15
2022-08-28,15
2022-09-04,16
2022-09-11,19
2022-09-18,23
2022-09-25,21
2022-10-02,14
2022-10-09,15
2022-10-16,32
2022-10-23,17
2022-10-30,18
